Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Loan_to_Income_Ratio
LP001049,Male,No,0,Not Graduate,No,5134,2177,242.9,360.0,1.0,Urban,Y,7311,33.2239
LP001050,Male,Yes,0,Graduate,No,6001,1846,243.5,360.0,1.0,Urban,Y,7847,31.031
LP001051,Male,Yes,0,Graduate,No,5902,0,230.4,360.0,1.0,Urban,Y,5902,39.0376
LP001052,Female,Yes,0,Not Graduate,Yes,4654,2351,327.2,360.0,1.0,Semiurban,Y,7005,46.7095
LP001053,Male,Yes,0,Graduate,No,6943,1176,271.6,360.0,0.0,Rural,N,8119,33.4524
LP001054,Female,Yes,1,Graduate,Yes,5939,431,317.8,360.0,1.0,Urban,Y,6370,49.8901
LP001055,Female,Yes,1,Graduate,Yes,2116,4611,264.7,360.0,1.0,Urban,Y,6727,39.3489
LP001056,Male,Yes,0,Graduate,No,7491,3908,295.6,360.0,1.0,Rural,Y,11399,25.9321
LP001057,Female,Yes,0,Graduate,Yes,7573,2071,249.8,360.0,1.0,Semiurban,Y,9644,25.9021
LP001058,Male,Yes,0,Graduate,No,2813,2345,229.1,360.0,1.0,Rural,N,5158,44.4164
LP001059,Male,No,0,Not Graduate,No,4549,4238,334.1,360.0,1.0,Rural,Y,8787,38.0221
LP001060,Male,Yes,0,Graduate,No,6700,2337,377.9,360.0,1.0,Rural,N,9037,41.817
LP001061,Male,Yes,0,Graduate,Yes,3922,3762,225.7,360.0,1.0,Rural,N,7684,29.3727
LP001062,Male,Yes,0,Graduate,No,8465,1622,265.7,180.0,1.0,Semiurban,N,10087,26.3408
LP001063,Male,No,0,Graduate,No,18367,5005,547.4,360.0,1.0,Semiurban,N,23372,23.4212
LP001064,Female,Yes,0,Graduate,No,2775,0,154.0,360.0,1.0,Rural,N,2775,55.4955
LP001065,Male,Yes,0,Graduate,No,1941,2288,180.6,360.0,0.0,Semiurban,N,4229,42.7051
LP001066,Male,No,0,Not Graduate,No,5336,821,200.8,360.0,1.0,Semiurban,Y,6157,32.6133
LP001067,Male,No,1,Graduate,No,6856,2442,244.2,360.0,0.0,Rural,N,9298,26.2637
LP001068,Male,No,2,Graduate,No,3871,1116,258.6,360.0,1.0,Semiurban,Y,4987,51.8548
LP001069,Female,Yes,0,Graduate,No,10635,0,278.6,360.0,0.0,Rural,N,10635,26.1965
LP001070,Male,Yes,0,Graduate,No,1991,1129,178.8,360.0,0.0,Rural,N,3120,57.3077
LP001071,Male,No,0,Not Graduate,No,6739,0,279.8,360.0,1.0,Rural,N,6739,41.5195
LP001072,Male,No,1,Not Graduate,No,3091,8842,343.3,180.0,1.0,Rural,N,11933,28.769
LP001073,Male,Yes,1,Graduate,No,12476,5074,336.6,180.0,1.0,Rural,Y,17550,19.1795
LP001074,Male,Yes,0,Graduate,No,14698,7663,549.6,360.0,0.0,Rural,N,22361,24.5785
LP001075,Female,Yes,3+,Graduate,No,2807,0,133.3,360.0,1.0,Urban,Y,2807,47.4884
LP001076,Male,No,0,Not Graduate,No,3197,2100,265.1,360.0,1.0,Semiurban,Y,5297,50.0472
LP001077,Male,Yes,0,Graduate,Yes,7448,0,331.4,360.0,1.0,Rural,Y,7448,44.4952
LP001078,Male,Yes,1,Graduate,No,3525,0,187.0,360.0,0.0,Rural,N,3525,53.0496
LP001079,Male,Yes,2,Graduate,No,4327,0,217.3,360.0,1.0,Urban,Y,4327,50.2196
LP001080,Male,Yes,1,Graduate,No,4515,0,216.1,360.0,1.0,Semiurban,Y,4515,47.8627
LP001081,Male,Yes,2,Graduate,Yes,1500,1514,169.3,360.0,1.0,Urban,Y,3014,56.1712
LP001082,Female,Yes,0,Graduate,No,4410,4221,355.9,360.0,1.0,Semiurban,Y,8631,41.2351
LP001083,Male,Yes,2,Graduate,No,2939,0,208.2,360.0,1.0,Rural,Y,2939,70.8404
LP001084,Male,Yes,0,Not Graduate,No,3308,10022,346.8,360.0,1.0,Rural,Y,13330,26.0165
LP001085,Male,Yes,3+,Graduate,No,10574,0,351.9,360.0,1.0,Semiurban,Y,10574,33.2797
LP001086,Male,Yes,0,Graduate,No,2092,4824,323.5,360.0,0.0,Urban,N,6916,46.7756
LP001087,Male,Yes,2,Graduate,No,7243,4458,426.5,300.0,1.0,Semiurban,Y,11701,36.4499
LP001088,Male,Yes,0,Graduate,Yes,3761,1010,225.4,360.0,1.0,Rural,N,4771,47.2438
LP001089,Male,Yes,1,Graduate,No,3759,4044,280.8,360.0,1.0,Semiurban,Y,7803,35.9862
LP001090,Female,Yes,0,Graduate,No,7145,2528,287.0,360.0,1.0,Urban,Y,9673,29.6702
LP001091,Male,Yes,2,Graduate,No,5453,0,290.8,360.0,1.0,Semiurban,Y,5453,53.3284
LP001092,Male,Yes,0,Graduate,No,6262,1122,233.2,360.0,1.0,Semiurban,Y,7384,31.5818
LP001093,Male,No,0,Graduate,No,7949,0,300.4,360.0,1.0,Urban,Y,7949,37.7909
LP001094,Male,Yes,0,Graduate,No,3645,8390,320.8,360.0,1.0,Semiurban,Y,12035,26.6556
LP001095,Male,No,0,Not Graduate,No,3079,1999,208.0,360.0,1.0,Urban,Y,5078,40.961
LP001096,Male,Yes,2,Graduate,No,2319,3454,236.1,360.0,0.0,Semiurban,N,5773,40.8973
LP001097,Male,No,0,Not Graduate,No,2710,0,208.1,360.0,1.0,Urban,Y,2710,76.7897
LP001098,Male,No,0,Graduate,No,26093,1157,426.3,360.0,0.0,Rural,N,27250,15.644
LP001099,Male,Yes,0,Graduate,Yes,9384,0,326.2,360.0,1.0,Rural,Y,9384,34.7613
LP001100,Male,Yes,0,Graduate,No,1977,776,137.7,60.0,1.0,Rural,Y,2753,50.0182
LP001101,Male,Yes,2,Graduate,No,2011,0,122.5,360.0,1.0,Rural,Y,2011,60.915
LP001102,Male,Yes,1,Not Graduate,No,5937,0,243.4,360.0,0.0,Semiurban,N,5937,40.9971
LP001103,Male,No,0,Graduate,No,6175,2160,298.1,360.0,1.0,Semiurban,Y,8335,35.7648
LP001104,Male,No,0,Not Graduate,No,6181,1762,257.4,360.0,1.0,Urban,Y,7943,32.4059
LP001105,Male,No,1,Graduate,No,3816,0,183.8,360.0,1.0,Rural,Y,3816,48.1656
LP001106,Female,Yes,0,Graduate,No,4124,0,168.9,360.0,1.0,Rural,N,4124,40.9554
LP001107,Male,No,0,Graduate,No,5413,3341,276.5,240.0,1.0,Semiurban,Y,8754,31.5856
LP001108,Male,No,0,Graduate,No,4682,1002,297.8,360.0,1.0,Semiurban,Y,5684,52.3927
LP001109,Male,Yes,1,Graduate,No,1500,1637,219.4,360.0,1.0,Semiurban,Y,3137,69.9394
LP001110,Male,Yes,0,Graduate,No,3874,0,186.9,360.0,0.0,Rural,N,3874,48.2447
LP001111,Male,No,1,Graduate,No,2668,0,249.8,360.0,1.0,Urban,Y,2668,93.6282
LP001112,Male,Yes,0,Graduate,No,4940,0,271.6,360.0,1.0,Semiurban,Y,4940,54.9798
LP001113,Male,No,0,Graduate,No,26666,0,409.8,360.0,1.0,Urban,Y,26666,15.3679
LP001114,Female,Yes,0,Not Graduate,No,5544,500,288.9,360.0,0.0,Urban,N,6044,47.7995
LP001115,Female,No,0,Not Graduate,Yes,3684,2064,297.4,300.0,0.0,Rural,Y,5748,51.7397
LP001116,Male,Yes,2,Graduate,No,7731,0,231.9,360.0,1.0,Semiurban,Y,7731,29.9961
LP001117,Female,Yes,1,Graduate,Yes,5940,0,211.3,360.0,1.0,Rural,Y,5940,35.5724
LP001118,Female,Yes,2,Graduate,No,5721,0,298.1,180.0,0.0,Urban,N,5721,52.1063
LP001119,Male,No,0,Not Graduate,No,6400,3411,327.5,360.0,1.0,Rural,Y,9811,33.3809
LP001120,Female,No,0,Graduate,No,15274,678,318.4,360.0,1.0,Rural,N,15952,19.9599
LP001121,Male,Yes,0,Graduate,No,2256,0,137.1,360.0,1.0,Semiurban,Y,2256,60.7713
LP001122,Female,Yes,0,Not Graduate,No,5908,0,244.0,360.0,1.0,Semiurban,N,5908,41.2999
LP001123,Female,No,0,Graduate,No,2550,1281,219.1,360.0,1.0,Rural,Y,3831,57.1913
LP001124,Male,Yes,2,Graduate,No,6206,1693,319.9,360.0,1.0,Semiurban,Y,7899,40.4988
LP001125,Male,No,1,Graduate,No,2562,3364,307.4,360.0,1.0,Rural,N,5926,51.8731
LP001126,Male,Yes,0,Graduate,No,3461,0,172.4,360.0,0.0,Rural,N,3461,49.8122
LP001127,Male,Yes,1,Graduate,Yes,3725,0,201.9,180.0,0.0,Rural,N,3725,54.2013
LP001128,Female,Yes,0,Graduate,No,7986,1575,322.7,360.0,1.0,Semiurban,Y,9561,33.7517
LP001129,Female,Yes,2,Graduate,No,7716,0,249.8,360.0,1.0,Semiurban,Y,7716,32.3743
LP001130,Male,No,3+,Graduate,No,2106,0,126.4,360.0,0.0,Urban,N,2106,60.019
LP001131,Male,Yes,0,Not Graduate,No,4596,2753,340.0,360.0,1.0,Semiurban,Y,7349,46.2648
LP001132,Male,Yes,0,Graduate,No,2905,0,203.7,360.0,1.0,Rural,Y,2905,70.1205
LP001133,Male,No,1,Graduate,No,2089,1758,201.4,360.0,1.0,Rural,Y,3847,52.3525
LP001134,Male,Yes,3+,Graduate,No,3904,0,212.7,360.0,1.0,Urban,Y,3904,54.4826
LP001135,Male,Yes,0,Not Graduate,No,3695,0,172.7,360.0,0.0,Rural,N,3695,46.7388
LP001136,Female,No,1,Graduate,Yes,19073,1132,471.3,360.0,1.0,Semiurban,Y,20205,23.3259
LP001137,Male,Yes,1,Graduate,No,5766,0,269.0,360.0,1.0,Semiurban,Y,5766,46.6528
LP001138,Male,Yes,2,Not Graduate,No,1945,2394,215.6,300.0,1.0,Rural,N,4339,49.6889
LP001139,Male,No,0,Not Graduate,No,3168,2319,295.2,360.0,1.0,Rural,Y,5487,53.7999
LP001140,Male,Yes,1,Graduate,No,8207,0,309.6,360.0,1.0,Urban,N,8207,37.7239
LP001141,Female,Yes,3+,Not Graduate,No,15569,1477,399.1,360.0,1.0,Rural,Y,17046,23.4131
LP001142,Female,Yes,0,Graduate,No,1717,0,151.6,360.0,1.0,Urban,Y,1717,88.2935
LP001143,Male,No,0,Graduate,No,1500,2938,183.6,360.0,1.0,Semiurban,Y,4438,41.37
LP001144,Male,Yes,0,Graduate,No,13664,0,359.7,120.0,1.0,Semiurban,Y,13664,26.3246
LP001145,Male,Yes,0,Graduate,No,5618,1121,248.0,180.0,1.0,Rural,Y,6739,36.8007
LP001146,Male,No,2,Graduate,No,2641,0,161.8,84.0,1.0,Semiurban,N,2641,61.2647
LP001147,Male,No,0,Graduate,No,6128,2578,342.7,360.0,1.0,Urban,N,8706,39.3637
LP001148,Male,Yes,0,Graduate,No,1500,2008,191.1,360.0,1.0,Urban,N,3508,54.4755
LP001149,Male,Yes,2,Graduate,No,4456,463,258.9,180.0,1.0,Rural,Y,4919,52.6326
LP001150,Male,Yes,0,Graduate,No,5413,0,247.6,360.0,1.0,Urban,Y,5413,45.7417
LP001151,Male,No,0,Graduate,No,7743,0,265.1,360.0,1.0,Semiurban,Y,7743,34.2374
LP001152,Female,Yes,0,Graduate,No,2420,1553,234.2,360.0,1.0,Semiurban,Y,3973,58.9479
LP001153,Male,Yes,1,Graduate,No,4681,1200,219.1,360.0,1.0,Urban,Y,5881,37.2556
LP001154,Male,No,0,Graduate,No,2552,0,143.3,360.0,0.0,Rural,N,2552,56.152
LP001155,Male,No,0,Graduate,No,5183,2486,285.2,360.0,1.0,Urban,Y,7669,37.1887
LP001156,Male,Yes,3+,Not Graduate,Yes,2598,0,147.4,360.0,1.0,Rural,N,2598,56.736
LP001157,Male,No,0,Graduate,No,3481,828,165.0,360.0,0.0,Semiurban,N,4309,38.2919
LP001158,Male,Yes,1,Graduate,No,2446,0,171.7,360.0,1.0,Rural,N,2446,70.1962
LP001159,Male,No,0,Graduate,No,6572,0,264.8,360.0,1.0,Urban,Y,6572,40.2921
LP001160,Male,Yes,2,Graduate,No,7443,1808,304.7,360.0,1.0,Semiurban,Y,9251,32.937
LP001161,Male,Yes,0,Graduate,No,3863,0,245.5,360.0,1.0,Urban,Y,3863,63.5516
LP001162,Male,No,3+,Not Graduate,No,4550,4107,312.3,360.0,1.0,Rural,N,8657,36.0749
LP001163,Male,Yes,0,Graduate,No,1864,3679,282.6,360.0,1.0,Rural,Y,5543,50.9832
LP001164,Male,Yes,0,Graduate,Yes,3715,0,165.1,360.0,1.0,Semiurban,N,3715,44.4415
LP001165,Male,No,0,Graduate,No,4315,0,220.3,360.0,1.0,Rural,N,4315,51.0545
LP001166,Male,No,0,Graduate,No,21428,1909,580.8,360.0,1.0,Semiurban,N,23337,24.8875
LP001167,Female,No,0,Graduate,Yes,2282,0,161.2,360.0,1.0,Semiurban,Y,2282,70.6398
LP001168,Male,No,0,Graduate,No,10705,2103,404.8,360.0,1.0,Urban,Y,12808,31.6052
LP001169,Male,Yes,2,Graduate,Yes,8087,1798,304.0,360.0,1.0,Urban,Y,9885,30.7537
LP001170,Male,Yes,0,Graduate,No,5262,4601,262.1,360.0,1.0,Rural,Y,9863,26.5741
LP001171,Male,Yes,0,Graduate,No,12774,0,360.2,360.0,1.0,Semiurban,Y,12774,28.1979
LP001172,Male,Yes,1,Not Graduate,No,5559,0,230.5,360.0,1.0,Semiurban,Y,5559,41.4643
LP001173,Male,No,1,Graduate,No,5616,0,284.8,360.0,1.0,Urban,Y,5616,50.7123
LP001174,Male,Yes,0,Graduate,No,4307,0,188.1,360.0,1.0,Semiurban,Y,4307,43.6731
LP001175,Male,Yes,0,Graduate,No,9266,4724,467.2,360.0,1.0,Semiurban,Y,13990,33.3953
LP001176,Male,Yes,0,Graduate,No,8585,3047,424.6,360.0,0.0,Semiurban,N,11632,36.5028
LP001177,Male,No,2,Not Graduate,No,3055,0,249.8,480.0,1.0,Urban,Y,3055,81.7676
LP001178,Male,Yes,1,Graduate,No,2015,0,135.7,180.0,1.0,Semiurban,Y,2015,67.3449
LP001179,Male,Yes,0,Graduate,No,3937,0,241.2,360.0,1.0,Urban,N,3937,61.2649
LP001180,Female,Yes,2,Not Graduate,No,2751,4879,345.0,360.0,1.0,Semiurban,N,7630,45.2163
LP001181,Male,Yes,2,Graduate,No,4280,0,207.1,360.0,1.0,Semiurban,Y,4280,48.3879
LP001182,Male,Yes,1,Not Graduate,No,9343,2902,329.9,360.0,1.0,Urban,Y,12245,26.9416
LP001183,Male,No,2,Graduate,No,3379,0,191.2,360.0,1.0,Semiurban,Y,3379,56.5848
LP001184,Female,No,0,Graduate,No,4334,4687,335.4,180.0,1.0,Urban,Y,9021,37.1799
LP001185,Female,Yes,0,Graduate,No,4604,4188,272.9,360.0,1.0,Semiurban,Y,8792,31.0396
LP001186,Male,No,0,Graduate,No,7398,0,310.0,360.0,1.0,Urban,Y,7398,41.9032
LP001187,Male,No,0,Not Graduate,No,1500,0,99.8,360.0,1.0,Semiurban,Y,1500,66.5333
LP001188,Female,No,0,Graduate,No,3090,1339,171.3,360.0,1.0,Semiurban,Y,4429,38.6769
LP001189,Male,Yes,3+,Graduate,No,5048,0,218.8,360.0,1.0,Urban,Y,5048,43.3439
LP001190,Male,Yes,0,Graduate,No,9136,3839,345.2,360.0,1.0,Rural,Y,12975,26.605
LP001191,Male,Yes,0,Graduate,No,3310,1709,210.7,300.0,1.0,Semiurban,Y,5019,41.9805
LP001192,Male,Yes,0,Graduate,No,1500,4211,244.6,360.0,1.0,Urban,Y,5711,42.8296
LP001193,Female,No,3+,Not Graduate,No,6449,5523,326.2,360.0,1.0,Urban,Y,11972,27.2469
LP001194,Female,No,0,Graduate,No,3037,0,153.7,360.0,0.0,Urban,Y,3037,50.6092
LP001195,Male,No,0,Graduate,No,2178,0,138.3,360.0,1.0,Rural,Y,2178,63.4986
LP001196,Male,Yes,0,Graduate,No,3057,1811,276.5,360.0,1.0,Semiurban,N,4868,56.7995
LP001197,Male,Yes,0,Graduate,No,3980,0,196.6,84.0,1.0,Rural,Y,3980,49.397
LP001198,Male,No,0,Graduate,No,3093,1384,211.9,360.0,1.0,Urban,Y,4477,47.3308
LP001199,Female,No,3+,Graduate,No,1500,0,130.3,360.0,1.0,Semiurban,N,1500,86.8667
LP001200,Female,Yes,0,Not Graduate,No,7617,0,346.9,360.0,1.0,Rural,Y,7617,45.5429
LP001201,Male,No,3+,Graduate,No,9556,2054,308.4,360.0,1.0,Urban,Y,11610,26.5633
LP001202,Male,No,1,Graduate,Yes,6574,0,249.8,360.0,0.0,Urban,N,6574,37.9982
LP001203,Male,Yes,2,Graduate,Yes,2247,795,197.1,360.0,1.0,Rural,N,3042,64.7929
LP001204,Male,Yes,0,Not Graduate,No,3940,2432,272.3,360.0,1.0,Urban,Y,6372,42.7338
LP001205,Female,Yes,0,Graduate,No,4429,449,183.9,360.0,1.0,Semiurban,Y,4878,37.6999
LP001206,Male,Yes,0,Graduate,No,6369,4059,359.0,84.0,1.0,Urban,N,10428,34.4265
LP001207,Male,Yes,1,Graduate,Yes,6640,1788,249.8,180.0,1.0,Semiurban,Y,8428,29.6393
LP001208,Male,No,0,Graduate,No,2862,19344,505.8,360.0,1.0,Rural,N,22206,22.7776
LP001209,Male,Yes,0,Graduate,No,4671,0,246.7,360.0,1.0,Rural,Y,4671,52.8152
LP001210,Male,Yes,0,Graduate,No,5851,1759,245.7,360.0,0.0,Semiurban,N,7610,32.2865
LP001211,Male,Yes,1,Graduate,No,10651,1854,420.7,360.0,1.0,Urban,N,12505,33.6425
LP001212,Male,Yes,0,Graduate,No,6786,4011,264.5,360.0,1.0,Semiurban,N,10797,24.4975
LP001213,Male,No,1,Not Graduate,No,7139,6582,441.1,360.0,1.0,Semiurban,Y,13721,32.1478
LP001214,Male,Yes,3+,Not Graduate,No,4676,0,218.2,360.0,1.0,Rural,Y,4676,46.6638
LP001215,Male,Yes,0,Graduate,No,10365,572,295.6,360.0,0.0,Semiurban,N,10937,27.0275
LP001216,Male,No,1,Graduate,No,5686,1292,225.6,360.0,1.0,Urban,Y,6978,32.3302
LP001217,Male,Yes,0,Graduate,No,2652,0,202.4,360.0,1.0,Rural,N,2652,76.3198
LP001218,Male,Yes,2,Graduate,No,10321,2829,299.2,360.0,1.0,Rural,N,13150,22.7529
LP001219,Male,Yes,0,Graduate,No,6759,4225,293.3,360.0,1.0,Urban,N,10984,26.7025
LP001220,Male,Yes,1,Graduate,Yes,3408,862,197.5,360.0,1.0,Urban,Y,4270,46.2529
LP001221,Female,Yes,2,Graduate,No,3335,394,209.5,180.0,1.0,Urban,Y,3729,56.1813
LP001222,Male,Yes,3+,Not Graduate,No,5313,3643,313.9,360.0,1.0,Rural,Y,8956,35.0491
LP001223,Male,Yes,1,Graduate,No,5871,0,206.0,360.0,1.0,Urban,Y,5871,35.0877
LP001224,Male,No,0,Graduate,No,5005,486,217.5,360.0,1.0,Urban,Y,5491,39.6103
LP001225,Male,Yes,1,Not Graduate,No,5360,0,209.2,180.0,1.0,Semiurban,Y,5360,39.0299
LP001226,Male,Yes,2,Graduate,No,12332,3481,354.7,360.0,0.0,Semiurban,N,15813,22.4309
LP001227,Male,Yes,1,Graduate,Yes,8458,1834,316.2,360.0,1.0,Urban,Y,10292,30.7229
LP001228,Female,Yes,0,Graduate,No,4985,0,251.1,360.0,1.0,Rural,Y,4985,50.3711
LP001229,Male,No,3+,Graduate,No,7822,0,250.0,360.0,1.0,Rural,Y,7822,31.9611
LP001230,Female,Yes,1,Graduate,No,2393,1541,191.3,360.0,1.0,Rural,Y,3934,48.6274
LP001231,Male,No,1,Graduate,No,5646,0,231.9,180.0,1.0,Urban,Y,5646,41.0733
LP001232,Female,Yes,0,Graduate,No,13168,1211,475.4,360.0,1.0,Rural,Y,14379,33.0621
LP001233,Male,Yes,1,Not Graduate,No,3901,0,245.6,360.0,0.0,Rural,N,3901,62.9582
LP001234,Male,Yes,0,Not Graduate,No,2674,0,191.3,480.0,1.0,Urban,Y,2674,71.5408
LP001235,Male,Yes,1,Not Graduate,No,3007,2247,207.5,360.0,1.0,Semiurban,N,5254,39.4937
LP001236,Male,Yes,0,Graduate,No,2312,995,149.6,360.0,1.0,Urban,Y,3307,45.2374
LP001237,Male,Yes,1,Graduate,No,2777,1759,200.4,360.0,1.0,Rural,Y,4536,44.1799
LP001238,Male,Yes,0,Not Graduate,No,3560,0,173.0,480.0,1.0,Semiurban,Y,3560,48.5955
LP001239,Male,No,0,Graduate,No,1913,2264,210.6,360.0,1.0,Rural,Y,4177,50.419
LP001240,Male,Yes,0,Graduate,No,4488,5432,365.2,360.0,1.0,Semiurban,Y,9920,36.8145
LP001241,Male,No,0,Graduate,No,7641,712,346.2,360.0,0.0,Rural,N,8353,41.4462
LP001242,Female,Yes,2,Graduate,No,2579,1325,235.4,360.0,1.0,Urban,Y,3904,60.2971
LP001243,Female,Yes,2,Not Graduate,No,11065,2515,354.2,360.0,1.0,Rural,N,13580,26.0825
LP001244,Female,Yes,0,Graduate,No,6041,4802,367.7,360.0,1.0,Urban,Y,10843,33.9113
LP001245,Male,Yes,2,Graduate,No,8253,0,269.7,360.0,1.0,Rural,Y,8253,32.679
LP001246,Male,Yes,2,Graduate,No,2996,1230,168.5,360.0,1.0,Urban,Y,4226,39.8722
LP001247,Female,Yes,0,Graduate,No,7425,0,306.1,360.0,1.0,Semiurban,Y,7425,41.2256
LP001248,Male,No,0,Not Graduate,No,2309,2148,167.9,60.0,1.0,Urban,Y,4457,37.6711
LP001249,Female,Yes,1,Graduate,No,7586,0,271.2,360.0,0.0,Semiurban,N,7586,35.7501
LP001250,Female,Yes,2,Graduate,No,4930,2426,256.8,360.0,0.0,Semiurban,N,7356,34.9103
LP001251,Female,Yes,2,Not Graduate,No,6197,1967,319.9,12.0,1.0,Urban,Y,8164,39.1842
LP001252,Male,Yes,2,Graduate,No,2196,0,171.0,360.0,0.0,Rural,N,2196,77.8689
LP001253,Male,Yes,0,Graduate,No,2599,0,150.7,360.0,1.0,Urban,N,2599,57.9838
LP001254,Female,Yes,2,Graduate,No,6363,0,296.5,360.0,1.0,Urban,N,6363,46.5975
LP001255,Male,Yes,0,Not Graduate,No,2517,3555,229.2,360.0,1.0,Urban,Y,6072,37.747
LP001256,Male,No,0,Graduate,No,5871,2340,287.2,360.0,1.0,Semiurban,N,8211,34.9775
LP001257,Male,No,0,Graduate,No,1958,0,158.9,360.0,1.0,Rural,N,1958,81.1542
