Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001106,Female,Yes,0,Graduate,No,4124,0,168.9,360.0,1.0,Rural,N
LP001107,Male,No,0,Graduate,No,5413,3341,276.5,240.0,1.0,Semiurban,Y
LP001108,Male,No,0,Graduate,No,4682,1002,297.8,360.0,1.0,Semiurban,Y
LP001109,Male,Yes,1,Graduate,No,1500,1637,219.4,360.0,1.0,Semiurban,Y
LP001110,Male,Yes,0,Graduate,No,3874,0,186.9,360.0,0.0,Rural,N
LP001111,Male,No,1,Graduate,No,2668,0,249.8,360.0,1.0,Urban,Y
LP001112,Male,Yes,0,Graduate,No,4940,0,271.6,360.0,1.0,Semiurban,Y
LP001113,Male,No,0,Graduate,No,26666,0,409.8,360.0,1.0,Urban,Y
LP001114,Female,Yes,0,Not Graduate,No,5544,500,288.9,360.0,0.0,Urban,N
LP001115,Female,No,0,Not Graduate,Yes,3684,2064,297.4,300.0,0.0,Rural,Y
LP001116,Male,Yes,2,Graduate,No,7731,0,231.9,360.0,1.0,Semiurban,Y
LP001117,Female,Yes,1,Graduate,Yes,5940,0,211.3,360.0,1.0,Rural,Y
LP001118,Female,Yes,2,Graduate,No,5721,0,298.1,180.0,0.0,Urban,N
LP001119,Male,No,0,Not Graduate,No,6400,3411,327.5,360.0,1.0,Rural,Y
LP001120,Female,No,0,Graduate,No,15274,678,318.4,360.0,1.0,Rural,N
LP001121,Male,Yes,0,Graduate,No,2256,0,137.1,360.0,1.0,Semiurban,Y
LP001122,Female,Yes,0,Not Graduate,No,5908,0,244.0,360.0,1.0,Semiurban,N
LP001123,Female,No,0,Graduate,No,2550,1281,219.1,360.0,1.0,Rural,Y
LP001124,Male,Yes,2,Graduate,No,6206,1693,319.9,360.0,1.0,Semiurban,Y
LP001125,Male,No,1,Graduate,No,2562,3364,307.4,360.0,1.0,Rural,N
LP001126,Male,Yes,0,Graduate,No,3461,0,172.4,360.0,0.0,Rural,N
LP001127,Male,Yes,1,Graduate,Yes,3725,0,201.9,180.0,0.0,Rural,N
LP001128,Female,Yes,0,Graduate,No,7986,1575,322.7,360.0,1.0,Semiurban,Y
LP001129,Female,Yes,2,Graduate,No,7716,0,249.8,360.0,1.0,Semiurban,Y
LP001130,Male,No,3+,Graduate,No,2106,0,126.4,360.0,0.0,Urban,N
LP001131,Male,Yes,0,Not Graduate,No,4596,2753,340.0,360.0,1.0,Semiurban,Y
LP001132,Male,Yes,0,Graduate,No,2905,0,203.7,360.0,1.0,Rural,Y
LP001133,Male,No,1,Graduate,No,2089,1758,201.4,360.0,1.0,Rural,Y
LP001134,Male,Yes,3+,Graduate,No,3904,0,212.7,360.0,1.0,Urban,Y
LP001135,Male,Yes,0,Not Graduate,No,3695,0,172.7,360.0,0.0,Rural,N
LP001136,Female,No,1,Graduate,Yes,19073,1132,471.3,360.0,1.0,Semiurban,Y
LP001137,Male,Yes,1,Graduate,No,5766,0,269.0,360.0,1.0,Semiurban,Y
LP001138,Male,Yes,2,Not Graduate,No,1945,2394,215.6,300.0,1.0,Rural,N
LP001139,Male,No,0,Not Graduate,No,3168,2319,295.2,360.0,1.0,Rural,Y
LP001140,Male,Yes,1,Graduate,No,8207,0,309.6,360.0,1.0,Urban,N
LP001141,Female,Yes,3+,Not Graduate,No,15569,1477,399.1,360.0,1.0,Rural,Y
LP001142,Female,Yes,0,Graduate,No,1717,0,151.6,360.0,1.0,Urban,Y
LP001143,Male,No,0,Graduate,No,1500,2938,183.6,360.0,1.0,Semiurban,Y
LP001144,Male,Yes,0,Graduate,No,13664,0,359.7,120.0,1.0,Semiurban,Y
LP001145,Male,Yes,0,Graduate,No,5618,1121,248.0,180.0,1.0,Rural,Y
LP001146,Male,No,2,Graduate,No,2641,0,161.8,84.0,1.0,Semiurban,N
LP001147,Male,No,0,Graduate,No,6128,2578,342.7,360.0,1.0,Urban,N
LP001148,Male,Yes,0,Graduate,No,1500,2008,191.1,360.0,1.0,Urban,N
LP001149,Male,Yes,2,Graduate,No,4456,463,258.9,180.0,1.0,Rural,Y
LP001150,Male,Yes,0,Graduate,No,5413,0,247.6,360.0,1.0,Urban,Y
LP001151,Male,No,0,Graduate,No,7743,0,265.1,360.0,1.0,Semiurban,Y
LP001152,Female,Yes,0,Graduate,No,2420,1553,234.2,360.0,1.0,Semiurban,Y
LP001153,Male,Yes,1,Graduate,No,4681,1200,219.1,360.0,1.0,Urban,Y
LP001154,Male,No,0,Graduate,No,2552,0,143.3,360.0,0.0,Rural,N
LP001155,Male,No,0,Graduate,No,5183,2486,285.2,360.0,1.0,Urban,Y
LP001156,Male,Yes,3+,Not Graduate,Yes,2598,0,147.4,360.0,1.0,Rural,N
LP001157,Male,No,0,Graduate,No,3481,828,165.0,360.0,0.0,Semiurban,N
LP001158,Male,Yes,1,Graduate,No,2446,0,171.7,360.0,1.0,Rural,N
LP001159,Male,No,0,Graduate,No,6572,0,264.8,360.0,1.0,Urban,Y
LP001160,Male,Yes,2,Graduate,No,7443,1808,304.7,360.0,1.0,Semiurban,Y
LP001161,Male,Yes,0,Graduate,No,3863,0,245.5,360.0,1.0,Urban,Y
LP001162,Male,No,3+,Not Graduate,No,4550,4107,312.3,360.0,1.0,Rural,N
LP001163,Male,Yes,0,Graduate,No,1864,3679,282.6,360.0,1.0,Rural,Y
LP001164,Male,Yes,0,Graduate,Yes,3715,0,165.1,360.0,1.0,Semiurban,N
LP001165,Male,No,0,Graduate,No,4315,0,220.3,360.0,1.0,Rural,N
LP001166,Male,No,0,Graduate,No,21428,1909,580.8,360.0,1.0,Semiurban,N
LP001167,Female,No,0,Graduate,Yes,2282,0,161.2,360.0,1.0,Semiurban,Y
LP001168,Male,No,0,Graduate,No,10705,2103,404.8,360.0,1.0,Urban,Y
LP001169,Male,Yes,2,Graduate,Yes,8087,1798,304.0,360.0,1.0,Urban,Y
LP001170,Male,Yes,0,Graduate,No,5262,4601,262.1,360.0,1.0,Rural,Y
LP001171,Male,Yes,0,Graduate,No,12774,0,360.2,360.0,1.0,Semiurban,Y
LP001172,Male,Yes,1,Not Graduate,No,5559,0,230.5,360.0,1.0,Semiurban,Y
LP001173,Male,No,1,Graduate,No,5616,0,284.8,360.0,1.0,Urban,Y
LP001174,Male,Yes,0,Graduate,No,4307,0,188.1,360.0,1.0,Semiurban,Y
LP001175,Male,Yes,0,Graduate,No,9266,4724,467.2,360.0,1.0,Semiurban,Y
LP001176,Male,Yes,0,Graduate,No,8585,3047,424.6,360.0,0.0,Semiurban,N
LP001177,Male,No,2,Not Graduate,No,3055,0,249.8,480.0,1.0,Urban,Y
LP001178,Male,Yes,1,Graduate,No,2015,0,135.7,180.0,1.0,Semiurban,Y
LP001179,Male,Yes,0,Graduate,No,3937,0,241.2,360.0,1.0,Urban,N
LP001180,Female,Yes,2,Not Graduate,No,2751,4879,345.0,360.0,1.0,Semiurban,N
LP001181,Male,Yes,2,Graduate,No,4280,0,207.1,360.0,1.0,Semiurban,Y
LP001182,Male,Yes,1,Not Graduate,No,9343,2902,329.9,360.0,1.0,Urban,Y
LP001183,Male,No,2,Graduate,No,3379,0,191.2,360.0,1.0,Semiurban,Y
LP001184,Female,No,0,Graduate,No,4334,4687,335.4,180.0,1.0,Urban,Y
LP001185,Female,Yes,0,Graduate,No,4604,4188,272.9,360.0,1.0,Semiurban,Y
LP001186,Male,No,0,Graduate,No,7398,0,310.0,360.0,1.0,Urban,Y
LP001187,Male,No,0,Not Graduate,No,1500,0,99.8,360.0,1.0,Semiurban,Y
LP001188,Female,No,0,Graduate,No,3090,1339,171.3,360.0,1.0,Semiurban,Y
LP001189,Male,Yes,3+,Graduate,No,5048,0,218.8,360.0,1.0,Urban,Y
LP001190,Male,Yes,0,Graduate,No,9136,3839,345.2,360.0,1.0,Rural,Y
LP001191,Male,Yes,0,Graduate,No,3310,1709,210.7,300.0,1.0,Semiurban,Y
LP001192,Male,Yes,0,Graduate,No,1500,4211,244.6,360.0,1.0,Urban,Y
LP001193,Female,No,3+,Not Graduate,No,6449,5523,326.2,360.0,1.0,Urban,Y
LP001194,Female,No,0,Graduate,No,3037,0,153.7,360.0,0.0,Urban,Y
LP001195,Male,No,0,Graduate,No,2178,0,138.3,360.0,1.0,Rural,Y
LP001196,Male,Yes,0,Graduate,No,3057,1811,276.5,360.0,1.0,Semiurban,N
LP001197,Male,Yes,0,Graduate,No,3980,0,196.6,84.0,1.0,Rural,Y
LP001198,Male,No,0,Graduate,No,3093,1384,211.9,360.0,1.0,Urban,Y
LP001199,Female,No,3+,Graduate,No,1500,0,130.3,360.0,1.0,Semiurban,N
LP001200,Female,Yes,0,Not Graduate,No,7617,0,346.9,360.0,1.0,Rural,Y
LP001201,Male,No,3+,Graduate,No,9556,2054,308.4,360.0,1.0,Urban,Y
LP001202,Male,No,1,Graduate,Yes,6574,0,249.8,360.0,0.0,Urban,N
LP001203,Male,Yes,2,Graduate,Yes,2247,795,197.1,360.0,1.0,Rural,N
LP001204,Male,Yes,0,Not Graduate,No,3940,2432,272.3,360.0,1.0,Urban,Y
LP001205,Female,Yes,0,Graduate,No,4429,449,183.9,360.0,1.0,Semiurban,Y
LP001206,Male,Yes,0,Graduate,No,6369,4059,359.0,84.0,1.0,Urban,N
LP001207,Male,Yes,1,Graduate,Yes,6640,1788,249.8,180.0,1.0,Semiurban,Y
LP001208,Male,No,0,Graduate,No,2862,19344,505.8,360.0,1.0,Rural,N
LP001209,Male,Yes,0,Graduate,No,4671,0,246.7,360.0,1.0,Rural,Y
LP001210,Male,Yes,0,Graduate,No,5851,1759,245.7,360.0,0.0,Semiurban,N
LP001211,Male,Yes,1,Graduate,No,10651,1854,420.7,360.0,1.0,Urban,N
LP001212,Male,Yes,0,Graduate,No,6786,4011,264.5,360.0,1.0,Semiurban,N
LP001213,Male,No,1,Not Graduate,No,7139,6582,441.1,360.0,1.0,Semiurban,Y
LP001214,Male,Yes,3+,Not Graduate,No,4676,0,218.2,360.0,1.0,Rural,Y
LP001215,Male,Yes,0,Graduate,No,10365,572,295.6,360.0,0.0,Semiurban,N
LP001216,Male,No,1,Graduate,No,5686,1292,225.6,360.0,1.0,Urban,Y
LP001217,Male,Yes,0,Graduate,No,2652,0,202.4,360.0,1.0,Rural,N
LP001218,Male,Yes,2,Graduate,No,10321,2829,299.2,360.0,1.0,Rural,N
LP001219,Male,Yes,0,Graduate,No,6759,4225,293.3,360.0,1.0,Urban,N
LP001220,Male,Yes,1,Graduate,Yes,3408,862,197.5,360.0,1.0,Urban,Y
LP001221,Female,Yes,2,Graduate,No,3335,394,209.5,180.0,1.0,Urban,Y
LP001222,Male,Yes,3+,Not Graduate,No,5313,3643,313.9,360.0,1.0,Rural,Y
LP001223,Male,Yes,1,Graduate,No,5871,0,206.0,360.0,1.0,Urban,Y
LP001224,Male,No,0,Graduate,No,5005,486,217.5,360.0,1.0,Urban,Y
LP001225,Male,Yes,1,Not Graduate,No,5360,0,209.2,180.0,1.0,Semiurban,Y
LP001226,Male,Yes,2,Graduate,No,12332,3481,354.7,360.0,0.0,Semiurban,N
LP001227,Male,Yes,1,Graduate,Yes,8458,1834,316.2,360.0,1.0,Urban,Y
LP001228,Female,Yes,0,Graduate,No,4985,0,251.1,360.0,1.0,Rural,Y
LP001229,Male,No,3+,Graduate,No,7822,0,250.0,360.0,1.0,Rural,Y
LP001230,Female,Yes,1,Graduate,No,2393,1541,191.3,360.0,1.0,Rural,Y
LP001231,Male,No,1,Graduate,No,5646,0,231.9,180.0,1.0,Urban,Y
LP001232,Female,Yes,0,Graduate,No,13168,1211,475.4,360.0,1.0,Rural,Y
LP001233,Male,Yes,1,Not Graduate,No,3901,0,245.6,360.0,0.0,Rural,N
LP001234,Male,Yes,0,Not Graduate,No,2674,0,191.3,480.0,1.0,Urban,Y
LP001235,Male,Yes,1,Not Graduate,No,3007,2247,207.5,360.0,1.0,Semiurban,N
LP001236,Male,Yes,0,Graduate,No,2312,995,149.6,360.0,1.0,Urban,Y
LP001237,Male,Yes,1,Graduate,No,2777,1759,200.4,360.0,1.0,Rural,Y
LP001238,Male,Yes,0,Not Graduate,No,3560,0,173.0,480.0,1.0,Semiurban,Y
LP001239,Male,No,0,Graduate,No,1913,2264,210.6,360.0,1.0,Rural,Y
LP001240,Male,Yes,0,Graduate,No,4488,5432,365.2,360.0,1.0,Semiurban,Y
LP001241,Male,No,0,Graduate,No,7641,712,346.2,360.0,0.0,Rural,N
LP001242,Female,Yes,2,Graduate,No,2579,1325,235.4,360.0,1.0,Urban,Y
LP001243,Female,Yes,2,Not Graduate,No,11065,2515,354.2,360.0,1.0,Rural,N
LP001244,Female,Yes,0,Graduate,No,6041,4802,367.7,360.0,1.0,Urban,Y
LP001245,Male,Yes,2,Graduate,No,8253,0,269.7,360.0,1.0,Rural,Y
LP001246,Male,Yes,2,Graduate,No,2996,1230,168.5,360.0,1.0,Urban,Y
LP001247,Female,Yes,0,Graduate,No,7425,0,306.1,360.0,1.0,Semiurban,Y
LP001248,Male,No,0,Not Graduate,No,2309,2148,167.9,60.0,1.0,Urban,Y
LP001249,Female,Yes,1,Graduate,No,7586,0,271.2,360.0,0.0,Semiurban,N
LP001250,Female,Yes,2,Graduate,No,4930,2426,256.8,360.0,0.0,Semiurban,N
LP001251,Female,Yes,2,Not Graduate,No,6197,1967,319.9,12.0,1.0,Urban,Y
LP001252,Male,Yes,2,Graduate,No,2196,0,171.0,360.0,0.0,Rural,N
LP001253,Male,Yes,0,Graduate,No,2599,0,150.7,360.0,1.0,Urban,N
LP001254,Female,Yes,2,Graduate,No,6363,0,296.5,360.0,1.0,Urban,N
LP001255,Male,Yes,0,Not Graduate,No,2517,3555,229.2,360.0,1.0,Urban,Y
LP001256,Male,No,0,Graduate,No,5871,2340,287.2,360.0,1.0,Semiurban,N
LP001257,Male,No,0,Graduate,No,1958,0,158.9,360.0,1.0,Rural,N
LP001258,Female,Yes,0,Not Graduate,No,7397,1009,324.5,360.0,1.0,Urban,Y
LP001259,Male,Yes,0,Graduate,No,2122,0,183.4,360.0,1.0,Rural,Y
LP001260,Male,No,0,Not Graduate,No,6194,3182,274.8,180.0,1.0,Semiurban,Y
LP001261,Male,Yes,1,Graduate,No,6472,1356,309.1,360.0,1.0,Semiurban,Y
LP001262,Male,Yes,0,Graduate,No,2927,0,184.7,360.0,1.0,Rural,Y
LP001263,Male,Yes,0,Graduate,No,6305,1410,340.2,360.0,1.0,Urban,N
LP001264,Male,No,0,Not Graduate,Yes,5199,0,197.2,360.0,1.0,Semiurban,N
LP001265,Male,No,0,Graduate,No,3218,0,205.8,360.0,1.0,Semiurban,Y
LP001266,Female,Yes,0,Not Graduate,Yes,2428,0,165.2,360.0,1.0,Rural,N
LP001267,Male,Yes,0,Not Graduate,No,1500,0,112.8,360.0,1.0,Urban,N
LP001268,Male,Yes,1,Graduate,No,5485,554,249.6,480.0,1.0,Urban,Y
LP001269,Male,No,1,Not Graduate,No,1739,845,152.5,360.0,0.0,Semiurban,N
LP001270,Male,Yes,1,Graduate,No,4708,467,242.4,180.0,1.0,Urban,Y
LP001271,Male,Yes,0,Graduate,No,3796,0,236.2,360.0,1.0,Rural,Y
LP001272,Female,No,0,Graduate,No,6684,0,274.2,360.0,1.0,Semiurban,Y
LP001273,Female,Yes,2,Not Graduate,No,3709,1589,250.9,360.0,0.0,Urban,N
LP001274,Female,No,0,Graduate,No,3649,963,222.6,360.0,0.0,Rural,N
LP001275,Female,Yes,0,Graduate,No,6898,0,214.0,360.0,1.0,Semiurban,Y
LP001276,Male,Yes,0,Graduate,No,5437,2765,258.0,360.0,1.0,Urban,Y
LP001277,Male,Yes,0,Graduate,No,5375,1359,265.7,360.0,1.0,Urban,Y
LP001278,Female,No,0,Graduate,No,5893,2493,271.6,360.0,1.0,Urban,Y
LP001279,Male,No,0,Not Graduate,No,1769,1075,147.9,360.0,1.0,Urban,Y
LP001280,Male,No,1,Not Graduate,Yes,7002,0,272.5,360.0,1.0,Semiurban,N
LP001281,Female,Yes,0,Graduate,No,6421,0,239.1,360.0,0.0,Urban,Y
LP001282,Female,No,1,Not Graduate,No,2416,3011,212.7,360.0,1.0,Urban,Y
LP001283,Male,Yes,2,Graduate,No,3841,0,198.1,360.0,0.0,Urban,Y
LP001284,Male,Yes,2,Not Graduate,No,4343,2392,221.6,360.0,1.0,Semiurban,Y
LP001285,Male,No,1,Graduate,No,4102,1688,296.1,360.0,1.0,Urban,Y
LP001286,Male,Yes,3+,Graduate,No,5433,0,280.2,360.0,1.0,Rural,Y
LP001287,Male,Yes,0,Graduate,No,10496,1590,391.5,360.0,1.0,Urban,Y
LP001288,Male,Yes,0,Not Graduate,No,8510,0,245.3,360.0,1.0,Rural,Y
LP001289,Male,Yes,0,Graduate,No,2023,2318,241.4,360.0,1.0,Urban,N
LP001290,Male,Yes,1,Graduate,No,6459,996,320.5,60.0,0.0,Rural,N
LP001291,Male,Yes,3+,Graduate,No,9871,981,380.4,360.0,0.0,Rural,N
LP001292,Male,Yes,0,Graduate,No,5608,755,213.1,360.0,1.0,Semiurban,Y
LP001293,Male,No,3+,Graduate,No,8557,651,332.6,360.0,0.0,Urban,N
LP001294,Female,No,0,Graduate,No,14873,852,470.4,360.0,0.0,Urban,N
LP001295,Male,Yes,3+,Not Graduate,No,8219,2234,344.1,360.0,1.0,Urban,Y
LP001296,Male,Yes,0,Graduate,No,5164,0,249.3,360.0,1.0,Semiurban,Y
LP001297,Male,Yes,0,Graduate,No,8325,0,290.8,360.0,1.0,Rural,Y
LP001298,Male,Yes,0,Graduate,No,4850,0,229.3,360.0,1.0,Semiurban,N
LP001299,Male,Yes,0,Not Graduate,No,4511,0,171.4,360.0,1.0,Urban,Y
LP001300,Male,Yes,0,Not Graduate,Yes,3601,3160,284.4,360.0,1.0,Urban,Y
LP001301,Male,Yes,0,Graduate,No,11362,3524,319.9,360.0,1.0,Semiurban,Y
